hi,Hello! How can I assist you today?
hello,Hello! How can I assist you today?
good morning,Good morning! How can I assist you today?
good afternoon,Good afternoon! How can I assist you today?
how are you,fine ….what about you?
fine,cool
government schemes in kerala,"Pradhan Mantri Kisan Samman Nidhi (PM-KISAN), Pradhan Mantri Fasal Bima Yojana (PMFBY), Kisan Credit Card (KCC), National Agriculture Market (eNAM), and Soil Health Card Scheme"
How can we improve soil fertility,"By adopting practices such as crop rotation, organic farming, using green manure and compost, practicing proper irrigation and drainage techniques, and avoiding excessive use of chemical fertilizers and pesticides. Soil testing and nutrient management can also help farmers make informed decisions about fertilizer application."
,
What are the major crops grown in India,"rice, wheat, maize, cotton, sugarcane, pulses (such as lentils and chickpeas), oilseeds (such as mustard and groundnut), and fruits and vegetables."
sites," https://agricoop.nic.in/,https://www.nabard.org/, https://www.icar.org.in/, https://krishijagran.com/, https://www.agribazaar.com/, https://agrinasion.com/,"
banks that provide loans for farmers,"National Bank for Agriculture and Rural Development (NABARD): Website: https://www.nabard.org/,Pradhan Mantri Mudra Yojana (PMMY): Website: https://www.mudra.org.in/,State Bank of India (SBI): Website:  https://sbi.co.in/, Punjab National Bank (PNB):Website:  https://www.pnbindia.in/, Bank of Baroda (BOB):  Website: https://www.bankofbaroda.in/,Small Farmers' Agri-Business Consortium (SFAC): Website: http://www.sfacindia.com/, Rashtriya Krishi Vikas Yojana (RKVY): Website: http://rkvy.nic.in/, "
,NABARD Regional Rural Banks:  Website: https://www.nabard.org/rrb.aspx
,Prathama Bank: Website:  https://www.prathamabank.org/
,Baroda Uttar Pradesh Gramin Bank:  Website:  https://www.barodagraminbank.com/
what is your name,"I am an AI language model developed by OpenAI, and I'm often referred to as Farmobot. However, you can call me whatever you'd like. How can I assist you today?"
What is the Pradhan Mantri Fasal Bima Yojana (PMFBY) in Kerala,"PMFBY is a crop insurance scheme launched by the Government of India. It aims to provide financial support to farmers in case of crop loss due to natural calamities, pests, or diseases. The scheme is implemented in Kerala to benefit farmers in the state."
What is the scope of coverage under the PMFBY scheme,"The PMFBY scheme covers all food crops, oilseeds, and horticultural crops. It provides comprehensive insurance coverage from pre-sowing to post-harvest stages, including localized calamities like hailstorms, landslides, and floods"
Are there any insurance schemes  in Kerala,the Government of Kerala has implemented the Pradhan Mantri Pashu Bima Yojana (PMPBY) for livestock insurance. It provides coverage for cattle and small animals against death due to natural or accidental causes and various diseases
Are there any health insurance schemes for farmers in Kerala,"the Government of Kerala has implemented the Karunya Health Insurance Scheme. It provides health insurance coverage to low-income families, including farmers, to avail cashless medical treatment in empaneled hospitals for major illnesses and surgeries."
What is the Rashtriya Swasthya Bima Yojana (RSBY) in Kerala,"RSBY is a health insurance scheme implemented by the Government of India. It provides health coverage to below-poverty-line families, including manual laborers and agricultural workers, enabling them to avail cashless medical treatment"
Early Blight,"Early blight affects stressed plants, causing dark lesions on older leaves. Infected leaves yellow and drop, while tubers develop a brown, corky dry rot. Cultural practices and fungicides help manage the disease"
Early blight remedies,"To manage early blight: rotate crops, improve airflow, mulch, avoid overhead watering, use fungicides, choose disease-resistant varieties."
kissan centre contact number,Toll Free number. 1800-180-1551 or 1551 
 What is agricPradhan Mantri Fasal Bima YojanaPMFBYMINISTRY OF AGRICULTURE & FARMERS WELFAREulture insurance policy in India,
 What is agriculture insurance policy in India?,National Agriculture Insurance Scheme
different types of crop insurance in India,Crop insurance schemes in India
,"Pradhan Mantri Fasal Bima Yojana (PMFBY),"
,"Weather based Crop Insurance Scheme (WBCIS),"
,Coconut Palm insurance scheme (CPIS) &
,Pilot Unified Package insurance scheme UPIS) (45 districts).
What is Pradhan Mantri Kisan Samman Nidhi ?,"Pradhan Mantri Kisan Samman Nidhi (PIV-KISAN) is a new Central Sector Scheme to provide income support to all landholding farmers' families in the country to supplement their financial needs for procuring various inputs related to agriculture and allied activities as well as domestic needs. Under the Scheme, the entire financial liability towards transfer of benefit to targeted beneficiaries will be borne by Government of Ind ia."
Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families?,"No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings"
What are the benefits of the Scheme?,"Under the PM-KISAN scheme, all landholding farmers' famities shall be provided the financial benefit of Rs.60001 per annum per family payable in three equal installments of Rs.20001 each, every four months."
When was the scheme launched?,"The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019"
From which date the Scheme has come into effect?,The scheme takes effect from 01 .12.2018
Who are eligible to get benefits under the Scheme?,"All landholding farmers' families, which have cultivable landholding in their names are eligible to get benefit under the scheme"
Who are not eligible to get benefits under the Scheme? (What are the Exclusion Criteria under the Scheme?),"Scheme (a) All lnstitutional Land holders; and (b) Farmer families in which one or more of its members belong to following categories:- i. Former and present holders of constitutional posts ii. Former and present ltlinisters/ State Ministers and former/present Members of Lok sabha/ Rajya sabha/ state Legislative Assemblies/ State Legislative councils, former and present tt/ayors of Municipal corporations, former and present Chairpersons of District Panchayats. iii. All serving or retired officers and employees of Central/ State Government tvliniitries /Offices/Departments and its field units Central or State PSEs and Attached offices /Autonomous lnstitutions under Government as well as regular employees of the Local Bodies (Excluding Multi Tasking staff / Class lV/Group D employees) iv. All su pe ran n uated/retired pensioners Rs.10,000/-or more(Excluding Ir/ulti Tasking em ployees) All Persons who paid lncome Tax in last assessment year vi. Professionals like Doctors, Engineers' Lawyers, Chartered Accountants, and Architects registered with Professional bodies and carrying out profession by undertaking practices."
How many times the benefit will be given in a year?,"Under the Plv-KlsAN scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.200O/- each, every four months. The period of 1't installment under the scheme is from 01 .12 2O18 to 31 03 2019, that of 2nd installment from 01 04.2019 to 31 07 .2019,3'd installment from 01 08.2019 to 30 11 2019, and so on"
"Whether an employee of the Central/State Government / PSU / Autonomous Organization, etc., who holds cultivable land in his/her own name in villages, is eligible to get the benefit under the scheme?","No. All serving or retired officers and employees of central / state Government lVlinistries / Offices / Departments and their field units, Central or State PSEs and Attached offices / Autonomous lnstitutions under Government as well as regular employees of the Local Bodies are not eligible to get benefit under the scheme whose monthly Pension Staff / Class lV/GrouP IS D However servrn or retired tvlu lti Taskin Staff I\NTS / Class lV / Grou D"
Will any individual or farmer family owning more than 2 hectare of cultivable land get any benefit under the scheme?,"Yes. The ambit of the scheme has been extended to cover all farmer families, irrespective of the size of their land holdings."
What will happen if the beneficiary gives incorrect declaration for the implementation of the Scheme?,"ln case of incorrect declaration, the beneficiary shall be liable for recovery of transferred financjal benefit and other penal actions as per law."
What is the cutoff date for determination of eligibility of beneficiaries under the scheme?,"The cut-off date for determination of eligibility of beneficiaries under the scheme is 01 .02.2019 and no changes thereafter shall be considered for eligibility of benefit under the scheme for next 5 years, except transfer of land on succession in case of death of landholder."
Whether transfer of ownership occurred between 01.12.2018 and 31.01.2019 are eligible for consideration?,"ln cases where transfer of ownership of cultivabie land has happened between 01 .12.2018 and 31.01 .2019 due to any reasons such as purchase, successlon, will, gift, etc., the first installment during the financial year (2018-19) shall be of proportionate amount from date of transfer till 31 .03.2019 with respect to the 4 months period, provided the families are otherwise eligible as per scheme guidelines."
"ls an incomeNo. rf an member of the famil is income tax a ee in last assessment ear, then the tax payee farmer or his / her spouse eligible to get benefit under the scheme?",
What is the definition of 'family' under the Scheme?,"A landholder farmer's family is defined as ""a family comprising of husband, wife and minor children who own cultivable land as per the land records of the concerned State/UT"". The existing land-ownership system will be used for identification of beneficiaries for calculation of benefit."
"ls any person / farmer who is not having land holding in his / her own name, but is cultivating land owned by his / her father / forefathers is eligible to get benefit under the Scheme?",No. The land must be in his / her own name. lf the land ownership has been transferred in his / her name on account of succession then he / she will be eligible.
What is the definition of 'family' under the Scheme?,"A landholder farmer's family is defined as ""a family comprising of husband, wife and minor children who own cultivable land as per the land records of the concerned State/UT"". The existing land-ownership system will be used for identification of beneficiaries for calculation of benefit."
"ls any person / farmer who is not having land holding in his / her own name, but is cultivating land owned by his / her father / forefathers is eligible to get benefit under the Scheme?",No. Land holding is the sole criteria to avail the benefit under the Scheme
How the beneficiaries under the Scheme will be identified and shortlisted for payment of intended benefit?,The responsibility of identifying the eligible farmers' families for benefit under the scheme is entirely of the State/UT Governments. The prevailing land-ownership system / record of land in different States/Union Territories will be used to identify the intended beneficiaries for transfer of scheme benefits.
How does a landholder farmers'family know that his / her name is included in the list of beneficiaries?,"The beneficiary lists would be displayed at Panchayats to ensure greater transparency and information. Further, States/UTs would notify the sanction of benefit to the beneficiary through system generated SlVlS. He / she can also ascertain his status through the Farmers Corner in the PIV-Kisan portal."
"ln case of landholding owned by family members are spread across different revenue records in the same or different villa es, districts States how the benefit will be transferred to the family?",
Will be monetary benefit under the Scheme be directly credited into beneficiary accounts?,Yes. The financial benefit under the scheme shall be directly credited into bank accounts of beneficiaries.
Whether farmers in villages situated in urban areas are eligible for the benefit of the Scheme?,"There is no distinction between urban and rural cultivable land under the scheme. Both are covered under the scheme, provided that land situated in urban areas is under actual cultivation."
Whether micro land holdings are admissible for availing the benefit of the Scheme?,"Micro land holdings, which are not cultivable, are excluded from the benefit under the scheme."
 What is the cut-off date for 'minor' children becoming 'major' under the Scheme?,The cuLoff date for'minor' children becoming 'major' is 01 .02.2019
Whether farmers may avail the benefit of the Scheme against agricultural land being used for non -ag ricu ltu ral purposes?,No. Agricultural land being used for non-agricultural purposes will not be covered for benefit under the scheme.
Whether farmers in villages situated in urban areas are eligible for the benefit of the Scheme?,"There is no distinction between urban and rural cultivable land under the scheme. Both are covered under the scheme, provided that land situated in urban areas is under actual cultivation."
thank you,"You're welcome! If you have any more questions in the future, feel free to ask. Have a great day!"
ok bye,Goodbye! Take care and have a wonderful day! Feel free to return if you have more questions in the future.
bye,Take care and have a great day! Feel free to reach out if you need assistance in the future. Goodbye and take care!
i have some doubt of agriculture,"'m here to help! Please go ahead and ask your agriculture-related question, and I'll do my best to assist you."
